,order_number,line_item,order_date,delivery_date,customerkey,storekey,productkey,quantity,currency_code,gender,name,city,state_code,state,zip_code,country,continent,birthday,date,currency,exchange,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,square_meters,open_date
18,372012,5,2016-01-07,Not Available,195521,6,2265,2,AUD,Male,Mitchell Saville,DURACK,WA,Western Australia,6743,Australia,Australia,1977-05-24,2016-01-07,AUD,1.4308,WWI Chandelier M615 Blue,Wide World Importers,Blue,105.76,229.99,806,Lamps,8,Home Appliances,2000.0,2010-01-01
19,373010,1,2016-01-08,Not Available,538801,27,2492,6,EUR,Female,Christine Kluge,Staßfurt,ST,Sachsen-Anhalt,39410,Germany,Europe,2000-10-25,2016-01-08,EUR,0.9207,Cigarette Lighter Adapter for Contoso Phones E110 White,Contoso,White,12.74,24.99,505,Cell phones Accessories,5,Cell phones,2000.0,2008-08-08
20,373010,2,2016-01-08,Not Available,538801,27,2288,8,EUR,Female,Christine Kluge,Staßfurt,ST,Sachsen-Anhalt,39410,Germany,Europe,2000-10-25,2016-01-08,EUR,0.9207,Proseware Chandelier M0815 Silver,Proseware,Silver,123.47,268.5,806,Lamps,8,Home Appliances,2000.0,2008-08-08
21,373010,3,2016-01-08,Not Available,538801,27,56,2,EUR,Female,Christine Kluge,Staßfurt,ST,Sachsen-Anhalt,39410,Germany,Europe,2000-10-25,2016-01-08,EUR,0.9207,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Yellow,98.07,296.0,104,Recording Pen,1,Audio,2000.0,2008-08-08
22,374011,1,2016-01-09,Not Available,174622,5,1256,8,AUD,Male,Jackson Glenny,Amherst,VIC,Victoria,3371,Australia,Australia,1982-01-07,2016-01-09,AUD,1.4267,Contoso General Carrying Case E304 Blue,Contoso,Blue,10.19,19.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,2000.0,2015-12-09
23,376001,1,2016-01-11,Not Available,813685,32,131,1,EUR,Female,Thamar Kaagman,Lelystad,FL,Flevoland,8226 HL,Netherlands,Europe,1979-06-15,2016-01-11,EUR,0.9184,"Adventure Works 20"" Analog CRT TV E45 White",Adventure Works,White,101.97,200.0,201,Televisions,2,TV and Video,910.0,2010-01-01
24,376001,2,2016-01-11,Not Available,813685,32,1604,1,EUR,Female,Thamar Kaagman,Lelystad,FL,Flevoland,8226 HL,Netherlands,Europe,1979-06-15,2016-01-11,EUR,0.9184,SV DVD 14-Inch Player Portable L100 Black,Southridge Video,Black,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",910.0,2010-01-01
25,376004,1,2016-01-11,Not Available,1905050,45,1635,6,USD,Male,Rodrigo Azevedo,Hartford,CT,Connecticut,6103,United States,North America,2001-02-20,2016-01-11,USD,1.0,Contoso DVD 60 DVD Storage Binder L20 Silver,Contoso,Silver,7.58,22.89,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2007-07-08
26,377007,1,2016-01-12,Not Available,86126,6,1665,1,AUD,Male,Tyler Blackmore,DUDININ,WA,Western Australia,6363,Australia,Australia,1970-09-04,2016-01-12,AUD,1.4267,MGS Hand Games for 12-16 boys E600 Yellow,Tailspin Toys,Yellow,2.54,4.99,701,Boxed Games,7,Games and Toys,2000.0,2010-01-01
27,377007,2,2016-01-12,Not Available,86126,6,446,3,AUD,Male,Tyler Blackmore,DUDININ,WA,Western Australia,6363,Australia,Australia,1970-09-04,2016-01-12,AUD,1.4267,WWI Desktop PC1.60 E1600 Black,Wide World Importers,Black,112.14,219.95,303,Desktops,3,Computers,2000.0,2010-01-01
28,377007,3,2016-01-12,Not Available,86126,6,1176,4,AUD,Male,Tyler Blackmore,DUDININ,WA,Western Australia,6363,Australia,Australia,1970-09-04,2016-01-12,AUD,1.4267,Fabrikam Trendsetter 1'' 25mm X400 White,Fabrikam,White,331.32,1000.0,405,Camcorders,4,Cameras and camcorders,2000.0,2010-01-01
29,379009,1,2016-01-14,Not Available,1556602,61,375,4,USD,Female,Dawn Harper,Florence,SC,South Carolina,29501,United States,North America,1940-06-16,2016-01-14,USD,1.0,Adventure Works Laptop15 M1501 Silver,Adventure Works,Silver,321.44,699.0,301,Laptops,3,Computers,2000.0,2012-12-15
30,379009,2,2016-01-14,Not Available,1556602,61,651,3,USD,Female,Dawn Harper,Florence,SC,South Carolina,29501,United States,North America,1940-06-16,2016-01-14,USD,1.0,Proseware Mobile Receipt and Document Scanner M200 Black,Proseware,Black,53.34,116.0,306,"Printers, Scanners & Fax",3,Computers,2000.0,2012-12-15
31,380006,1,2016-01-15,Not Available,549983,27,1969,7,EUR,Male,Paul Ehrlichmann,Ermsleben,ST,Sachsen-Anhalt,6463,Germany,Europe,1981-09-06,2016-01-15,EUR,0.9163,Litware Refrigerator 24.7CuFt X980 Grey,Litware,Grey,1060.22,3199.99,802,Refrigerators,8,Home Appliances,2000.0,2008-08-08
32,381011,1,2016-01-16,Not Available,1302333,45,450,1,USD,Male,Raymond Cole,Hartford,CT,Connecticut,6103,United States,North America,1950-09-30,2016-01-16,USD,1.0,WWI Desktop PC2.33 X2330 Brown,Wide World Importers,Brown,304.48,919.0,303,Desktops,3,Computers,2000.0,2007-07-08
33,383001,1,2016-01-18,Not Available,1584109,61,994,1,USD,Male,Matt Hopkins,Columbia,SC,South Carolina,29201,United States,North America,1986-01-26,2016-01-18,USD,1.0,A. Datum Consumer Digital Camera M300 Silver,A. Datum,Silver,84.84,184.5,401,Digital Cameras,4,Cameras and camcorders,2000.0,2012-12-15
34,384007,1,2016-01-19,Not Available,14180,6,494,3,AUD,Female,Ava Lockyer,KALGOORLIE,WA,Western Australia,6430,Australia,Australia,1998-05-14,2016-01-19,AUD,1.4421,Adventure Works LCD20W M240 Black,Adventure Works,Black,128.3,279.0,304,Monitors,3,Computers,2000.0,2010-01-01
35,384007,2,2016-01-19,Not Available,14180,6,1633,2,AUD,Female,Ava Lockyer,KALGOORLIE,WA,Western Australia,6430,Australia,Australia,1998-05-14,2016-01-19,AUD,1.4421,Contoso DVD 58 DVD Storage Binder M55 Silver,Contoso,Silver,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2010-01-01
36,385002,1,2016-01-20,Not Available,844832,31,424,2,EUR,Female,Ankje de Kanter,Coevorden,DR,Drenthe,7742 BP,Netherlands,Europe,1977-11-12,2016-01-20,EUR,0.9168,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,1085.0,2012-01-07
37,385002,2,2016-01-20,Not Available,844832,31,53,2,EUR,Female,Ankje de Kanter,Coevorden,DR,Drenthe,7742 BP,Netherlands,Europe,1977-11-12,2016-01-20,EUR,0.9168,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Black,98.07,296.0,104,Recording Pen,1,Audio,1085.0,2012-01-07
38,385010,1,2016-01-20,Not Available,483118,20,61,6,EUR,Male,Phillipp Koch,Potsdam,BB,Brandenburg,14432,Germany,Europe,1952-01-23,2016-01-20,EUR,0.9168,WWI 2GB Spy Video Recorder Pen M300 Black,Wide World Importers,Black,83.24,181.0,104,Recording Pen,1,Audio,1715.0,2012-12-15
39,385010,2,2016-01-20,Not Available,483118,20,1000,3,EUR,Male,Phillipp Koch,Potsdam,BB,Brandenburg,14432,Germany,Europe,1952-01-23,2016-01-20,EUR,0.9168,A. Datum Compact Digital Camera M200 Orange,A. Datum,Orange,59.32,129.0,401,Digital Cameras,4,Cameras and camcorders,1715.0,2012-12-15
40,386004,1,2016-01-21,Not Available,2085055,45,1222,3,USD,Male,Marc Abrahamsson,East Hartford,CT,Connecticut,6108,United States,North America,1996-03-06,2016-01-21,USD,1.0,Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Black,Fabrikam,Black,219.74,431.0,405,Camcorders,4,Cameras and camcorders,2000.0,2007-07-08
41,387002,1,2016-01-22,Not Available,1368025,44,429,2,USD,Male,Ralph Gupton,Conway,AR,Arkansas,72032,United States,North America,1942-01-26,2016-01-22,USD,1.0,Adventure Works Desktop PC2.30 MD230 Brown,Adventure Works,Brown,275.87,599.9,303,Desktops,3,Computers,2000.0,2010-06-03
42,387002,2,2016-01-22,Not Available,1368025,44,1377,6,USD,Male,Ralph Gupton,Conway,AR,Arkansas,72032,United States,North America,1942-01-26,2016-01-22,USD,1.0,Contoso Phone for MSN E200 White,Contoso,White,8.16,16.0,501,Home & Office Phones,5,Cell phones,2000.0,2010-06-03
43,388000,1,2016-01-23,Not Available,97611,5,928,6,AUD,Male,James Steinfeld,MERLYNSTON,VIC,Victoria,3058,Australia,Australia,1967-04-21,2016-01-23,AUD,1.423,SV 512MB Laptop memory E800 Silver,Southridge Video,Silver,17.33,33.99,308,Computers Accessories,3,Computers,2000.0,2015-12-09
44,388000,2,2016-01-23,Not Available,97611,5,1045,7,AUD,Male,James Steinfeld,MERLYNSTON,VIC,Victoria,3058,Australia,Australia,1967-04-21,2016-01-23,AUD,1.423,"A. Datum SLR Camera 35"" X358 Black",A. Datum,Black,194.82,588.0,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2015-12-09
45,388000,3,2016-01-23,Not Available,97611,5,1627,6,AUD,Male,James Steinfeld,MERLYNSTON,VIC,Victoria,3058,Australia,Australia,1967-04-21,2016-01-23,AUD,1.423,Contoso DVD 48 DVD Storage Binder M50 Black,Contoso,Black,8.27,17.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
46,388005,1,2016-01-23,Not Available,1893487,55,1601,4,USD,Male,Dillon Pigford,Las Vegas,NV,Nevada,89119,United States,North America,1952-06-16,2016-01-23,USD,1.0,SV DVD 9-Inch Player Portable M300 Black,Southridge Video,Black,73.57,159.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2009-12-15
47,388005,2,2016-01-23,Not Available,1893487,55,2388,9,USD,Male,Dillon Pigford,Las Vegas,NV,Nevada,89119,United States,North America,1952-06-16,2016-01-23,USD,1.0,Proseware Air conditioner 6000BTU E180 White,Proseware,White,101.96,199.99,807,Air Conditioners,8,Home Appliances,2000.0,2009-12-15
48,388011,1,2016-01-23,Not Available,1702898,61,454,5,USD,Male,Dee Pickens,Greenville,SC,South Carolina,29601,United States,North America,1992-08-08,2016-01-23,USD,1.0,WWI Desktop PC1.80 E1801 Brown,Wide World Importers,Brown,137.6,269.9,303,Desktops,3,Computers,2000.0,2012-12-15
49,388011,2,2016-01-23,Not Available,1702898,61,50,1,USD,Male,Dee Pickens,Greenville,SC,South Carolina,29601,United States,North America,1992-08-08,2016-01-23,USD,1.0,WWI 2GB Pulse Smart pen M100 Black,Wide World Importers,Black,91.95,199.95,104,Recording Pen,1,Audio,2000.0,2012-12-15
50,388011,3,2016-01-23,Not Available,1702898,61,1653,2,USD,Male,Dee Pickens,Greenville,SC,South Carolina,29601,United States,North America,1992-08-08,2016-01-23,USD,1.0,Contoso DVD 7-Inch Player Portable E200 Silver,Contoso,Silver,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2012-12-15
51,388011,4,2016-01-23,Not Available,1702898,61,2094,1,USD,Male,Dee Pickens,Greenville,SC,South Carolina,29601,United States,North America,1992-08-08,2016-01-23,USD,1.0,Contoso Water Heater 1.5GPM E0800 Blue,Contoso,Blue,131.28,257.5,804,Water Heaters,8,Home Appliances,2000.0,2012-12-15
52,388011,5,2016-01-23,Not Available,1702898,61,1692,3,USD,Male,Dee Pickens,Greenville,SC,South Carolina,29601,United States,North America,1992-08-08,2016-01-23,USD,1.0,SV Hand Games for students E40 Black,Southridge Video,Black,3.56,6.99,701,Boxed Games,7,Games and Toys,2000.0,2012-12-15
53,388011,6,2016-01-23,Not Available,1702898,61,2106,7,USD,Male,Dee Pickens,Greenville,SC,South Carolina,29601,United States,North America,1992-08-08,2016-01-23,USD,1.0,Contoso Water Heater 4.3GPM M1250 Grey,Contoso,Grey,403.53,877.5,804,Water Heaters,8,Home Appliances,2000.0,2012-12-15
54,388011,7,2016-01-23,Not Available,1702898,61,1211,2,USD,Male,Dee Pickens,Greenville,SC,South Carolina,29601,United States,North America,1992-08-08,2016-01-23,USD,1.0,Fabrikam Business Videographer 2/3'' 17mm M280 Grey,Fabrikam,Grey,390.88,850.0,405,Camcorders,4,Cameras and camcorders,2000.0,2012-12-15
55,390000,1,2016-01-25,Not Available,1699570,59,1581,1,USD,Male,John Iraheta,Portland,OR,Oregon,97218,United States,North America,1987-11-10,2016-01-25,USD,1.0,SV DVD Recorder L240 Gold,Southridge Video,Gold,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2012-08-08
56,390000,2,2016-01-25,Not Available,1699570,59,2351,2,USD,Male,John Iraheta,Portland,OR,Oregon,97218,United States,North America,1987-11-10,2016-01-25,USD,1.0,Contoso Air conditioner 8000BTU M0320 White,Contoso,White,183.94,399.99,807,Air Conditioners,8,Home Appliances,2000.0,2012-08-08
57,391004,1,2016-01-26,Not Available,444160,19,1588,3,EUR,Male,Tom Scholz,Berlin Neukölln,BE,Berlin,10961,Germany,Europe,1980-05-01,2016-01-26,EUR,0.9228,SV DVD 58 DVD Storage Binder M55 Silver,Southridge Video,Silver,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",1295.0,2015-04-04
58,391004,2,2016-01-26,Not Available,444160,19,69,6,EUR,Male,Tom Scholz,Berlin Neukölln,BE,Berlin,10961,Germany,Europe,1980-05-01,2016-01-26,EUR,0.9228,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Pink,13.1,25.69,106,Bluetooth Headphones,1,Audio,1295.0,2015-04-04
59,392002,1,2016-01-27,Not Available,1855347,59,430,2,USD,Female,Anna Johnson,Beaverton,OR,Oregon,97005,United States,North America,1971-12-23,2016-01-27,USD,1.0,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.63,269.95,303,Desktops,3,Computers,2000.0,2012-08-08
60,392002,2,2016-01-27,Not Available,1855347,59,1168,1,USD,Female,Anna Johnson,Beaverton,OR,Oregon,97005,United States,North America,1971-12-23,2016-01-27,USD,1.0,Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 White,Fabrikam,White,275.92,600.0,405,Camcorders,4,Cameras and camcorders,2000.0,2012-08-08
61,392002,3,2016-01-27,Not Available,1855347,59,144,2,USD,Female,Anna Johnson,Beaverton,OR,Oregon,97005,United States,North America,1971-12-23,2016-01-27,USD,1.0,"Adventure Works 15.6"" LCD TV M130W Brown",Adventure Works,Brown,152.94,299.99,201,Televisions,2,TV and Video,2000.0,2012-08-08
62,392002,4,2016-01-27,Not Available,1855347,59,2298,2,USD,Female,Anna Johnson,Beaverton,OR,Oregon,97005,United States,North America,1971-12-23,2016-01-27,USD,1.0,Proseware Wall Lamp E0215 Grey,Proseware,Grey,61.17,119.99,806,Lamps,8,Home Appliances,2000.0,2012-08-08
63,393001,1,2016-01-28,Not Available,530451,19,2267,7,EUR,Male,Stefan Kunze,Berlin Charlottenburg,BE,Berlin,10709,Germany,Europe,1985-06-30,2016-01-28,EUR,0.9172,WWI Wall Lamp E315 Blue,Wide World Importers,Blue,52.0,101.99,806,Lamps,8,Home Appliances,1295.0,2015-04-04
64,393001,2,2016-01-28,Not Available,530451,19,1228,4,EUR,Male,Stefan Kunze,Berlin Charlottenburg,BE,Berlin,10709,Germany,Europe,1985-06-30,2016-01-28,EUR,0.9172,"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue",Fabrikam,Blue,536.74,1620.0,405,Camcorders,4,Cameras and camcorders,1295.0,2015-04-04
65,393001,3,2016-01-28,Not Available,530451,19,1593,1,EUR,Male,Stefan Kunze,Berlin Charlottenburg,BE,Berlin,10709,Germany,Europe,1985-06-30,2016-01-28,EUR,0.9172,SV DVD 58 DVD Storage Binder M55 Red,Southridge Video,Red,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",1295.0,2015-04-04
66,393001,4,2016-01-28,Not Available,530451,19,1157,5,EUR,Male,Stefan Kunze,Berlin Charlottenburg,BE,Berlin,10709,Germany,Europe,1985-06-30,2016-01-28,EUR,0.9172,"Fabrikam Independent Filmmaker 1/2"" 3mm X300 Orange",Fabrikam,Orange,523.49,1580.0,405,Camcorders,4,Cameras and camcorders,1295.0,2015-04-04
67,393006,1,2016-01-28,Not Available,1765324,51,417,2,USD,Male,Dustin Cruz,York,ME,Maine,3909,United States,North America,1952-09-21,2016-01-28,USD,1.0,Adventure Works Desktop PC2.30 MD230 Silver,Adventure Works,Silver,275.46,599.0,303,Desktops,3,Computers,1295.0,2010-01-01
68,393006,2,2016-01-28,Not Available,1765324,51,2305,2,USD,Male,Dustin Cruz,York,ME,Maine,3909,United States,North America,1952-09-21,2016-01-28,USD,1.0,Proseware Chandelier M0615 Blue,Proseware,Blue,105.76,229.99,806,Lamps,8,Home Appliances,1295.0,2010-01-01
69,394001,1,2016-01-29,Not Available,186894,5,1228,5,AUD,Female,Stella Brookfield,NERRING,VIC,Victoria,3373,Australia,Australia,1948-02-09,2016-01-29,AUD,1.4092,"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue",Fabrikam,Blue,536.74,1620.0,405,Camcorders,4,Cameras and camcorders,2000.0,2015-12-09
70,394001,2,2016-01-29,Not Available,186894,5,519,8,AUD,Female,Stella Brookfield,NERRING,VIC,Victoria,3373,Australia,Australia,1948-02-09,2016-01-29,AUD,1.4092,WWI LCD22 M2002 Black,Wide World Importers,Black,205.09,619.0,304,Monitors,3,Computers,2000.0,2015-12-09
71,394001,3,2016-01-29,Not Available,186894,5,1652,3,AUD,Female,Stella Brookfield,NERRING,VIC,Victoria,3373,Australia,Australia,1948-02-09,2016-01-29,AUD,1.4092,Contoso DVD 12-Inch Player Portable M400 Silver,Contoso,Silver,82.77,179.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
72,394002,1,2016-01-29,Not Available,452923,27,1695,1,EUR,Male,Ralf Eisenberg,Allstedt,ST,Sachsen-Anhalt,6539,Germany,Europe,1973-03-14,2016-01-29,EUR,0.9158,SV Hand Games for 12-16 boys E60 Black,Southridge Video,Black,2.54,4.98,701,Boxed Games,7,Games and Toys,2000.0,2008-08-08
73,394002,2,2016-01-29,Not Available,452923,27,1688,2,EUR,Male,Ralf Eisenberg,Allstedt,ST,Sachsen-Anhalt,6539,Germany,Europe,1973-03-14,2016-01-29,EUR,0.9158,SV Hand Games women M40 Yellow,Southridge Video,Yellow,4.08,8.88,701,Boxed Games,7,Games and Toys,2000.0,2008-08-08
74,394004,1,2016-01-29,Not Available,602720,16,1417,2,EUR,Female,Carine Sirois,BRIVE-LA-GAILLARDE,LI,Limousin,19100,France,Europe,1961-08-10,2016-01-29,EUR,0.9158,The Phone Company Touch Screen Phones 4-Wire/ Built-in M205 Black,The Phone Company,Black,123.24,268.0,503,Touch Screen Phones,5,Cell phones,385.0,2010-06-03
75,394004,2,2016-01-29,Not Available,602720,16,1138,1,EUR,Female,Carine Sirois,BRIVE-LA-GAILLARDE,LI,Limousin,19100,France,Europe,1961-08-10,2016-01-29,EUR,0.9158,Fabrikam SLR Camera M150 Orange,Fabrikam,Orange,180.22,391.9,402,Digital SLR Cameras,4,Cameras and camcorders,385.0,2010-06-03
76,394004,3,2016-01-29,Not Available,602720,16,1190,2,EUR,Female,Carine Sirois,BRIVE-LA-GAILLARDE,LI,Limousin,19100,France,Europe,1961-08-10,2016-01-29,EUR,0.9158,"Fabrikam Social Videographer 1/3"" 8.5mm E200 Orange",Fabrikam,Orange,84.12,165.0,405,Camcorders,4,Cameras and camcorders,385.0,2010-06-03
77,398001,1,2016-02-02,Not Available,130214,5,1588,7,AUD,Female,Zoe Coleman,RUTHERGLEN,VIC,Victoria,3685,Australia,Australia,1949-03-20,2016-02-02,AUD,1.4173,SV DVD 58 DVD Storage Binder M55 Silver,Southridge Video,Silver,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
78,398001,2,2016-02-02,Not Available,130214,5,1259,8,AUD,Female,Zoe Coleman,RUTHERGLEN,VIC,Victoria,3685,Australia,Australia,1949-03-20,2016-02-02,AUD,1.4173,Contoso Cyber Shot Digital Cameras Adapter E306 Black,Contoso,Black,20.39,39.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,2000.0,2015-12-09
79,398001,3,2016-02-02,Not Available,130214,5,1194,1,AUD,Female,Zoe Coleman,RUTHERGLEN,VIC,Victoria,3685,Australia,Australia,1949-03-20,2016-02-02,AUD,1.4173,Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Grey,Fabrikam,Grey,291.09,633.0,405,Camcorders,4,Cameras and camcorders,2000.0,2015-12-09
80,398001,4,2016-02-02,Not Available,130214,5,374,6,AUD,Female,Zoe Coleman,RUTHERGLEN,VIC,Victoria,3685,Australia,Australia,1949-03-20,2016-02-02,AUD,1.4173,Adventure Works Laptop19W X1980 Silver,Adventure Works,Silver,430.38,1299.0,301,Laptops,3,Computers,2000.0,2015-12-09
81,400009,1,2016-02-04,Not Available,1310047,45,1746,2,USD,Female,Helen Nguyen,Norwalk,CT,Connecticut,6854,United States,North America,1987-03-12,2016-02-04,USD,1.0,MGS Zoo Tycoon Dinosaur Digs X200,Tailspin Toys,Black,36.11,109.0,702,Download Games,7,Games and Toys,2000.0,2007-07-08
82,402004,1,2016-02-06,Not Available,1906975,54,1134,5,USD,Male,Jules Boncoeur,Omaha,NE,Nebraska,68114,United States,North America,1983-09-03,2016-02-06,USD,1.0,Fabrikam SLR Camera M149 Blue,Fabrikam,Blue,146.7,319.0,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2013-06-07
